NAME,AUTHORS,YEAR,TITLE,JOURNAL,VOLUME,PAGES
Abdi Talib Abdalla,"Amour I. S., Abdalla A. T., Simba F., Kitta S.",2023,Humanization of Online Mathematics Questions Development and Logical Grading Techniques,N/A,N/A,N/A
Abdi Talib Abdalla,"Maiseli B., Abdalla A. T., Massawe L. V., Mbise M., Mkocha K., Nassor N. A., Ismail M., Michael J., Kimambo S.",2023,"Brain–computer interface: trend, challenges, and threats",Brain informatics,10,20
Abdi Talib Abdalla,"Kalinga E., Nyamle E., Abdalla A.",2023,Modelling Prediction of Cities Real Estate Price Trend Using Recurrent Neural Network: A Case of Dar es Salaam City,Tanzania Journal of Engineering and Technology,42,64-77
Abdi Talib Abdalla,"Amour I. S., Simba F., Kitta S., Abdalla A. T.",2023,Digitisation of Classical Exercise Practices with STACK: Management of Large Mathematics Classes in Higher Education Institutions,Tanzania Journal of Science,49,921-929
Abdi Talib Abdalla,"Gadiel G. M., Ibwe K., Abdalla A. T.",2023,Energy efficient phase interpolator based hybrid beamforming architecture for massive MIMO system,Telecommunication Systems,N/A,1-10
Abdi Talib Abdalla,"ABDALLA A., Ibwe K.",2023,Smart Grid in Tanzania: Research Opportunities,Tanzania Journal of Engineering and Technology,42,170-183
Abdi Talib Abdalla,"Abdalla A., Amour I.",2023,Through-The-Wall Radar Imaging-Ghost Suppression with Compressive Sensing,N/A,N/A,200
Abdi Talib Abdalla,"Mkemwa F., Abdalla A. T., Maiseli B., Amour I., Muqaibel A.",2023,Effective path-loss compensation model based on multipath exploitation for through-the-wall radar imaging,EURASIP Journal on Advances in Signal Processing,2023,42
Abdi Talib Abdalla,"Kalinga E. A., Bazila S., Ibwe K., Abdalla A. T.",2023,Cognitive internet of things-based framework for efficient consumption of electrical energy in public higher learning institutions,Journal of Electrical Systems and Information Technology,10,19
Abdi Talib Abdalla,"Shayo E. I., Abdalla A. T., Mwambela A. J.",2023,Dynamic multi-frame multi-spreading factor scheduling algorithm for LoRaWAN,Journal of Electrical Systems and Information Technology,10,11
